Name,Pos,Team,Overall,Season
Tom Brady,QB,NE,50.3,2018
Brandin Cooks,WR,LA,52.5,2018
Marshawn Lynch,RB,LV,52.6,2018
Carlos Hyde,RB,JAX,53.9,2018
Allen Robinson,WR,CHI,55.2,2018
Dion Lewis,RB,TEN,55.5,2018
Greg Olsen,TE,CAR,57.5,2018
Emmanuel Sanders,WR,DEN,57.6,2018
Jamaal Williams,RB,GB,59.7,2018
Russell Wilson,QB,SEA,61,2018
Corey Davis,WR,TEN,61.1,2018
Marvin Jones,WR,DET,62.3,2018
Kerryon Johnson,RB,DET,62.5,2018
Rex Burkhead,RB,NE,64,2018
Trey Burton,TE,CHI,64.6,2018
Julian Edelman,WR,NE,65.5,2018
Chris Carson,RB,SEA,66.7,2018
Drew Brees,QB,NO,66.9,2018
Peyton Barber,RB,TB,69,2018
Michael Crabtree,WR,BAL,70.4,2018
Evan Engram,TE,NYG,70.5,2018
Cam Newton,QB,CAR,71,2018
Will Fuller,WR,HOU,73,2018
Chris Thompson,RB,WAS,74.1,2018
Kyle Rudolph,TE,MIN,76.1,2018
Tevin Coleman,RB,ATL,76.5,2018
Delanie Walker,TE,TEN,77.6,2018
Cooper Kupp,WR,LA,77.8,2018
Jamison Crowder,WR,WAS,79.5,2018
Adrian Peterson,RB,WAS,81.1,2018
Kirk Cousins,QB,MIN,81.7,2018
Alshon Jeffery,WR,PHI,82.8,2018
Sony Michel,RB,NE,83.5,2018
Carson Wentz,QB,PHI,84.5,2018
Robby Anderson,WR,NYJ,84.8,2018
Tarik Cohen,RB,CHI,85.2,2018
Rashaad Penny,RB,SEA,87.1,2018
Devin Funchess,WR,CAR,87.4,2018
Andrew Luck,QB,IND,87.6,2018
Jordan Reed,TE,WAS,88.3,2018
Isaiah Crowell,RB,NYJ,89.6,2018
Randall Cobb,WR,GB,90.9,2018
Nelson Agholor,WR,PHI,92.8,2018
Duke Johnson,RB,CLE,93.5,2018
Sammy Watkins,WR,KC,93.8,2018
Marlon Mack,RB,IND,94.3,2018
Jacksonville Defense,DST,JAX,94.5,2018
Jimmy Garoppolo,QB,SF,96.7,2018
Aaron Jones,RB,GB,97.7,2018
Jordy Nelson,WR,LV,98.2,2018
David Njoku,TE,CLE,98.4,2018
James White,RB,NE,99.5,2018
Matthew Stafford,QB,DET,100.3,2018
Mike Williams,WR,LAC,102.7,2018
LA Rams Defense,DST,LA,103.5,2018
Robert Woods,WR,LA,103.7,2018
Sterling Shepard,WR,NYG,106.1,2018
Philip Rivers,QB,LAC,107.3,2018
Matt Ryan,QB,ATL,108.1,2018
Kenny Stills,WR,MIA,108.1,2018
Pierre Garcon,WR,SF,108.2,2018
Minnesota Defense,DST,MIN,109.3,2018
Ronald Jones II,RB,TB,111.4,2018
Kelvin Benjamin,WR,KC,113.1,2018
Keelan Cole,WR,JAX,113.9,2018
Bilal Powell,RB,NYJ,114.3,2018
Ben Roethlisberger,QB,PIT,114.5,2018
Jack Doyle,TE,IND,116.1,2018
Patrick Mahomes,QB,KC,118.1,2018
Philadelphia Defense,DST,PHI,118.4,2018
Calvin Ridley,WR,ATL,119.3,2018
LA Chargers Defense,DST,LAC,119.5,2018
Alfred Morris,RB,SF,119.8,2018
Latavius Murray,RB,MIN,123.1,2018
CJ Anderson,RB,LA,123.3,2018
John Brown,WR,BAL,123.4,2018
Jared Goff,QB,LA,123.9,2018
Matt Breida,RB,SF,125.6,2018
Nick Chubb,RB,CLE,126.4,2018
Allen Hurns,WR,DAL,127.6,2018
Baltimore Defense,DST,BAL,128.3,2018
Corey Clement,RB,PHI,128.4,2018
Michael Gallup,WR,DAL,129.2,2018
Ty Montgomery,RB,BAL,129.2,2018
Houston Defense,DST,HOU,129.7,2018
D.J. Moore,WR,CAR,129.8,2018
Tyler Lockett,WR,SEA,131.1,2018
Kenny Golladay,WR,DET,131.9,2018
George Kittle,TE,SF,133,2018
Alex Smith,QB,WAS,134.5,2018
Marcus Mariota,QB,TEN,136,2018
Denver Defense,DST,DEN,138.1,2018
Chris Godwin,WR,TB,138.4,2018
Giovani Bernard,RB,CIN,140.9,2018
Derek Carr,QB,LV,141.1,2018
Anthony Miller,WR,CHI,141.5,2018
Geronimo Allison,WR,GB,142.2,2018
Jordan Wilkins,RB,IND,143.1,2018
Greg Zuerlein,K,LA,143.2,2018
Cameron Meredith,WR,NO,145,2018
Tyler Eifert,TE,CIN,147,2018
New Orleans Defense,DST,NO,147.4,2018
Stephen Gostkowski,K,NE,148.5,2018
O.J. Howard,TE,TB,151.3,2018
Jameis Winston,QB,TB,151.7,2018
John Ross,WR,CIN,152,2018
Dede Westbrook,WR,JAX,152.7,2018
Austin Hooper,TE,ATL,152.9,2018
LeGarrette Blount,RB,DET,153.9,2018
Justin Tucker,K,BAL,153.9,2018
Ricky Seals-Jones,TE,ARI,154.1,2018
DeVante Parker,WR,MIA,154.8,2018
Devontae Booker,RB,DEN,155.6,2018
Eric Ebron,TE,IND,156,2018
Tyrod Taylor,QB,CLE,156.8,2018
James Conner,RB,PIT,157.1,2018
Chicago Defense,DST,CHI,157.2,2018
Eli Manning,QB,NYG,157.2,2018
Danny Amendola,WR,MIA,157.6,2018
Dak Prescott,QB,DAL,158.6,2018
Doug Martin,RB,LV,158.6,2018
Theo Riddick,RB,DET,159.6,2018
New England Defense,DST,NE,160.2,2018
Austin Ekeler,RB,LAC,160.8,2018
Wil Lutz,K,NO,161.5,2018
Josh Doctson,WR,WAS,162.3,2018
Courtland Sutton,WR,DEN,163.1,2018
Spencer Ware,RB,KC,164.3,2018
Mitch Trubisky,QB,CHI,164.3,2018
Matt Bryant,K,ATL,164.4,2018
Carolina Defense,DST,CAR,164.4,2018
Pittsburgh Defense,DST,PIT,164.6,2018
Daniel Carlson,K,LV,165.7,2018
Case Keenum,QB,DEN,165.9,2018
Christian Kirk,WR,ARI,166.8,2018
Atlanta Defense,DST,ATL,167.1,2018
Chris Boswell,K,PIT,167.6,2018
Arizona Defense,DST,ARI,168,2018
Jake Elliott,K,PHI,168.4,2018
Harrison Butker,K,KC,168.5,2018
Mason Crosby,K,GB,170.6,2018
Matt Prater,K,DET,170.6,2018
Robbie Gould,K,SF,171.3,2018
Adam Vinatieri,K,IND,173.4,2018
Brandon McManus,K,DEN,173.6,2018
Saquon Barkley,RB,NYG,1.4,2019
Alvin Kamara,RB,NO,2.5,2019
Christian McCaffrey,RB,CAR,3.2,2019
Ezekiel Elliott,RB,DAL,3.9,2019
Davante Adams,WR,GB,6.4,2019
DeAndre Hopkins,WR,HOU,7,2019
James Conner,RB,PIT,7.1,2019
David Johnson,RB,ARI,7.1,2019
LeVeon Bell,RB,NYJ,8.8,2019
Julio Jones,WR,ATL,10.2,2019
Michael Thomas,WR,NO,10.4,2019
Nick Chubb,RB,CLE,11.7,2019
JuJu Smith-Schuster,WR,PIT,12.9,2019
Tyreek Hill,WR,KC,13.9,2019
Dalvin Cook,RB,MIN,14.6,2019
Odell Beckham Jr,WR,CLE,15.1,2019
Todd Gurley,RB,LA,16,2019
Travis Kelce,TE,KC,17.1,2019
Joe Mixon,RB,CIN,18.4,2019
Patrick Mahomes,QB,KC,19.3,2019
Mike Evans,WR,TB,20.2,2019
Antonio Brown,WR,NE,21.4,2019
Adam Thielen,WR,MIN,22.9,2019
Leonard Fournette,RB,JAX,23.2,2019
Keenan Allen,WR,LAC,25,2019
Damien Williams,RB,KC,25.5,2019
Chris Carson,RB,SEA,26.5,2019
George Kittle,TE,SF,28.3,2019
Kerryon Johnson,RB,DET,28.5,2019
Aaron Jones,RB,GB,29.2,2019
Devonta Freeman,RB,ATL,30.4,2019
Stefon Diggs,WR,MIN,30.8,2019
David Montgomery,RB,CHI,31.3,2019
Josh Jacobs,RB,LV,33.1,2019
Amari Cooper,WR,DAL,33.1,2019
Zach Ertz,TE,PHI,33.5,2019
Julian Edelman,WR,NE,36.1,2019
Sony Michel,RB,NE,37.4,2019
Brandin Cooks,WR,LA,39.1,2019
Mark Ingram,RB,BAL,39.7,2019
Chris Godwin,WR,TB,39.9,2019
Melvin Gordon,RB,LAC,42,2019
Robert Woods,WR,LA,42.2,2019
Tyler Lockett,WR,SEA,42.9,2019
Derrick Henry,RB,TEN,43.8,2019
Cooper Kupp,WR,LA,45.2,2019
Marlon Mack,RB,IND,46.5,2019
Kenny Golladay,WR,DET,47.1,2019
Deshaun Watson,QB,HOU,47.1,2019
James White,RB,NE,48.1,2019
T.Y. Hilton,WR,IND,49,2019
Tyler Boyd,WR,CIN,51.5,2019
Duke Johnson,RB,HOU,51.7,2019
Josh Gordon,WR,SEA,52.1,2019
Calvin Ridley,WR,ATL,53.5,2019
O.J. Howard,TE,TB,54.1,2019
Phillip Lindsay,RB,DEN,55.6,2019
Aaron Rodgers,QB,GB,55.7,2019
Evan Engram,TE,NYG,57.3,2019
Tevin Coleman,RB,SF,57.7,2019
Miles Sanders,RB,PHI,59,2019
Mike Williams,WR,LAC,60.3,2019
Austin Ekeler,RB,LAC,61.7,2019
Dede Westbrook,WR,JAX,62.7,2019
Baker Mayfield,QB,CLE,63.2,2019
Hunter Henry,TE,LAC,63.3,2019
A.J. Green,WR,CIN,63.8,2019
Jarvis Landry,WR,CLE,64.8,2019
D.J. Moore,WR,CAR,67.2,2019
Matt Ryan,QB,ATL,69.2,2019
Derrius Guice,RB,WAS,69.8,2019
Jared Cook,TE,NO,70.6,2019
Tarik Cohen,RB,CHI,71,2019
Alshon Jeffery,WR,PHI,71.9,2019
Drew Brees,QB,NO,73.9,2019
Carson Wentz,QB,PHI,74.6,2019
Vance McDonald,TE,PIT,75.1,2019
Robby Anderson,WR,NYJ,75.9,2019
Latavius Murray,RB,NO,76.4,2019
Allen Robinson,WR,CHI,76.6,2019
Emmanuel Sanders,WR,SF,80.6,2019
Jared Goff,QB,LA,81.5,2019
Will Fuller,WR,HOU,81.6,2019
Kenyan Drake,RB,ARI,82.9,2019
Tony Pollard,RB,DAL,83.3,2019
David Njoku,TE,CLE,83.5,2019
Devin Singletary,RB,BUF,83.9,2019
Matt Breida,RB,SF,84.8,2019
Darwin Thompson,RB,KC,86,2019
Curtis Samuel,WR,CAR,88,2019
Russell Wilson,QB,SEA,88.4,2019
Christian Kirk,WR,ARI,89.9,2019
LeSean McCoy,RB,KC,90.8,2019
Sterling Shepard,WR,NYG,92.2,2019
Chicago Defense,DST,CHI,92.4,2019
Darrell Henderson,RB,LA,93,2019
Cam Newton,QB,CAR,94.4,2019
Rashaad Penny,RB,SEA,95.3,2019
Austin Hooper,TE,ATL,95.4,2019
Sammy Watkins,WR,KC,96.1,2019
Lamar Jackson,QB,BAL,97.6,2019
Geronimo Allison,WR,GB,98.7,2019
Marquez Valdes-Scantling,WR,GB,100.6,2019
Kareem Hunt,RB,CLE,100.8,2019
James Washington,WR,PIT,101.3,2019
Jordan Howard,RB,PHI,103.7,2019
Jameis Winston,QB,TB,105.1,2019
Marvin Jones,WR,DET,105.3,2019
LA Rams Defense,DST,LA,105.6,2019
Larry Fitzgerald,WR,ARI,106.5,2019
Ben Roethlisberger,QB,PIT,106.8,2019
Royce Freeman,RB,DEN,108.1,2019
Jacksonville Defense,DST,JAX,109.3,2019
Dante Pettis,WR,SF,109.8,2019
Corey Davis,WR,TEN,110.8,2019
Kyler Murray,QB,ARI,110.9,2019
Kalen Ballage,RB,MIA,113.5,2019
Michael Gallup,WR,DAL,113.8,2019
Tom Brady,QB,NE,114.6,2019
Delanie Walker,TE,TEN,115.4,2019
Philip Rivers,QB,LAC,116.1,2019
Baltimore Defense,DST,BAL,117,2019
Eric Ebron,TE,IND,117.5,2019
Jaylen Samuels,RB,PIT,119,2019
DeSean Jackson,WR,PHI,119.4,2019
Donte Moncrief,WR,CAR,119.8,2019
Justin Jackson,RB,LAC,119.9,2019
Justice Hill,RB,BAL,120.7,2019
Golden Tate,WR,NYG,123.3,2019
Cleveland Defense,DST,CLE,126,2019
T.J. Hockenson,TE,DET,126.1,2019
Courtland Sutton,WR,DEN,126.2,2019
Dak Prescott,QB,DAL,127.2,2019
Alexander Mattison,RB,MIN,127.3,2019
Jamison Crowder,WR,NYJ,128.8,2019
Kirk Cousins,QB,MIN,130.7,2019
Peyton Barber,RB,TB,131.3,2019
Tyrell Williams,WR,LV,131.4,2019
D.K. Metcalf,WR,SEA,131.8,2019
Adrian Peterson,RB,WAS,133.1,2019
Minnesota Defense,DST,MIN,134,2019
Anthony Miller,WR,CHI,134.4,2019
John Brown,WR,BUF,136.2,2019
LA Chargers Defense,DST,LAC,137.4,2019
Mecole Hardman,WR,KC,137.7,2019
Dallas Defense,DST,DAL,137.9,2019
Mitch Trubisky,QB,CHI,139.2,2019
Mark Andrews,TE,BAL,142.1,2019
Dion Lewis,RB,TEN,142.9,2019
Greg Zuerlein,K,LA,144.3,2019
Denver Defense,DST,DEN,145.8,2019
Josh Allen,QB,BUF,145.8,2019
Keke Coutee,WR,HOU,146.2,2019
Jimmy Garoppolo,QB,SF,147.5,2019
Greg Olsen,TE,CAR,148.9,2019
Justin Tucker,K,BAL,149.7,2019
Damien Harris,RB,NE,151.4,2019
Harrison Butker,K,KC,151.6,2019
Deebo Samuel,WR,SF,151.8,2019
Carlos Hyde,RB,HOU,151.9,2019
Frank Gore,RB,BUF,152.3,2019
Trey Burton,TE,CHI,152.4,2019
N'Keal Harry,WR,NE,152.8,2019
Ito Smith,RB,ATL,154.2,2019
Kyle Rudolph,TE,MIN,154.9,2019
Darren Waller,TE,LV,155.8,2019
Ty Montgomery,RB,NYJ,157.1,2019
Derek Carr,QB,LV,157.4,2019
Stephen Gostkowski,K,NE,157.5,2019
Malcolm Brown,RB,LA,157.6,2019
Wil Lutz,K,NO,157.6,2019
Dare Ogunbowale,RB,TB,157.9,2019
Jordan Reed,TE,WAS,158,2019
Philadelphia Defense,DST,PHI,158.1,2019
Ronald Jones II,RB,TB,158.1,2019
New England Defense,DST,NE,159.1,2019
Nyheim Hines,RB,IND,159.2,2019
Cole Beasley,WR,BUF,159.6,2019
Pittsburgh Defense,DST,PIT,160.5,2019
Mohamed Sanu,WR,NE,160.7,2019
Matthew Stafford,QB,DET,160.8,2019
Demaryius Thomas,WR,NYJ,161.4,2019
Kenny Stills,WR,HOU,161.5,2019
Tre'Quan Smith,WR,NO,161.6,2019
Seattle Defense,DST,SEA,162.7,2019
New Orleans Defense,DST,NO,162.8,2019
Kaimi Fairbairn,K,HOU,162.9,2019
Marquise Goodwin,WR,SF,163,2019
Sam Darnold,QB,NYJ,164.2,2019
Houston Defense,DST,HOU,165.4,2019
Buffalo Defense,DST,BUF,165.5,2019
Adam Humphries,WR,TEN,166.9,2019
Jake Elliott,K,PHI,167.2,2019
Michael Badgley,K,LAC,168.2,2019
Mason Crosby,K,GB,169.2,2019
Robbie Gould,K,SF,169.8,2019
Giorgio Tavecchio,K,ATL,170.5,2019
Jason Myers,K,SEA,170.7,2019
Dan Bailey,K,MIN,172,2019
Brett Maher,K,DAL,172.7,2019
Christian McCaffrey,RB,CAR,1.2,2020
Saquon Barkley,RB,NYG,2.5,2020
Ezekiel Elliott,RB,DAL,3.4,2020
Alvin Kamara,RB,NO,4.9,2020
Michael Thomas,WR,NO,5.6,2020
Clyde Edwards-Helaire,RB,KC,6.2,2020
Dalvin Cook,RB,MIN,6.2,2020
Derrick Henry,RB,TEN,7.4,2020
Josh Jacobs,RB,LV,9.1,2020
Davante Adams,WR,GB,10.4,2020
Austin Ekeler,RB,LAC,11.5,2020
Miles Sanders,RB,PHI,12,2020
Joe Mixon,RB,CIN,13.1,2020
Julio Jones,WR,ATL,14.4,2020
Kenyan Drake,RB,ARI,14.8,2020
Tyreek Hill,WR,KC,15.8,2020
Nick Chubb,RB,CLE,16.3,2020
Aaron Jones,RB,GB,17.5,2020
DeAndre Hopkins,WR,ARI,18.5,2020
Patrick Mahomes,QB,KC,18.7,2020
Travis Kelce,TE,KC,19.9,2020
Chris Godwin,WR,TB,21.5,2020
James Conner,RB,PIT,22.4,2020
Lamar Jackson,QB,BAL,22.7,2020
George Kittle,TE,SF,24.4,2020
Kenny Golladay,WR,DET,25.8,2020
Chris Carson,RB,SEA,26.4,2020
Mike Evans,WR,TB,27.9,2020
David Johnson,RB,HOU,28.5,2020
Todd Gurley,RB,ATL,29.1,2020
Adam Thielen,WR,MIN,30.3,2020
Allen Robinson,WR,CHI,31.8,2020
Jonathan Taylor,RB,IND,32.6,2020
D.J. Moore,WR,CAR,32.6,2020
LeVeon Bell,RB,KC,34.5,2020
Leonard Fournette,RB,TB,35.4,2020
Odell Beckham Jr,WR,CLE,35.7,2020
JuJu Smith-Schuster,WR,PIT,36.9,2020
Amari Cooper,WR,DAL,38.1,2020
Melvin Gordon,RB,DEN,39.4,2020
Cooper Kupp,WR,LA,40.3,2020
Calvin Ridley,WR,ATL,40.9,2020
Mark Andrews,TE,BAL,42.4,2020
Robert Woods,WR,LA,42.4,2020
Mark Ingram,RB,BAL,42.5,2020
A.J. Brown,WR,TEN,44.4,2020
D.K. Metcalf,WR,SEA,45.3,2020
Devin Singletary,RB,BUF,46.4,2020
D.J. Chark,WR,JAX,47.5,2020
Raheem Mostert,RB,SF,49.4,2020
Tyler Lockett,WR,SEA,49.9,2020
Zach Ertz,TE,PHI,50.6,2020
Terry McLaurin,WR,WAS,50.8,2020
Cam Akers,RB,LA,52.8,2020
Kareem Hunt,RB,CLE,53.1,2020
Keenan Allen,WR,LAC,53.5,2020
Dak Prescott,QB,DAL,54.7,2020
Ronald Jones II,RB,TB,56.5,2020
T.Y. Hilton,WR,IND,57.5,2020
Courtland Sutton,WR,DEN,58.1,2020
David Montgomery,RB,CHI,59.7,2020
Marquise Brown,WR,BAL,60,2020
D'Andre Swift,RB,DET,61.4,2020
Darren Waller,TE,LV,61.6,2020
Russell Wilson,QB,SEA,62,2020
Kyler Murray,QB,ARI,62.6,2020
Stefon Diggs,WR,BUF,65,2020
DeVante Parker,WR,MIA,66.7,2020
J.K. Dobbins,RB,BAL,67,2020
Deshaun Watson,QB,HOU,69.3,2020
A.J. Green,WR,CIN,69.8,2020
Rob Gronkowski,TE,TB,70.4,2020
Will Fuller,WR,HOU,70.5,2020
Michael Gallup,WR,DAL,72.2,2020
James White,RB,NE,72.7,2020
Marlon Mack,RB,IND,74.6,2020
Evan Engram,TE,NYG,74.8,2020
Julian Edelman,WR,NE,77.2,2020
Tyler Boyd,WR,CIN,78.5,2020
Antonio Gibson,RB,WAS,79,2020
Hayden Hurst,TE,ATL,79.4,2020
Jordan Howard,RB,PHI,80,2020
Drew Brees,QB,NO,80.1,2020
Brandin Cooks,WR,HOU,81.5,2020
Zack Moss,RB,BUF,83.7,2020
Phillip Lindsay,RB,DEN,83.8,2020
Tarik Cohen,RB,CHI,84.6,2020
Matt Ryan,QB,ATL,84.8,2020
Jarvis Landry,WR,CLE,85.5,2020
Tom Brady,QB,TB,88,2020
Deebo Samuel,WR,SF,89.1,2020
Diontae Johnson,WR,PIT,89.4,2020
Tyler Higbee,TE,LA,89.7,2020
Matt Breida,RB,MIA,90.5,2020
CeeDee Lamb,WR,DAL,93.2,2020
Aaron Rodgers,QB,GB,94.3,2020
Latavius Murray,RB,NO,94.9,2020
Marvin Jones,WR,DET,95.1,2020
Tevin Coleman,RB,SF,96.4,2020
Alexander Mattison,RB,MIN,96.7,2020
Kerryon Johnson,RB,DET,97.2,2020
Hunter Henry,TE,LAC,98,2020
Emmanuel Sanders,WR,NO,100,2020
Chase Edmonds,RB,ARI,101.1,2020
Damien Harris,RB,NE,101.1,2020
Josh Allen,QB,BUF,101.5,2020
Jamison Crowder,WR,NYJ,102.6,2020
Henry Ruggs III,WR,LV,104.5,2020
Mecole Hardman,WR,KC,106.1,2020
San Francisco Defense,DST,SF,106.3,2020
Sony Michel,RB,NE,107.4,2020
Carson Wentz,QB,PHI,107.9,2020
Jalen Reagor,WR,PHI,109.5,2020
Matthew Stafford,QB,DET,111.3,2020
A.J. Dillon,RB,GB,111.9,2020
Jerry Jeudy,WR,DEN,112.3,2020
Darius Slayton,WR,NYG,113.2,2020
Darrell Henderson,RB,LA,114.1,2020
Jared Cook,TE,NO,115.2,2020
Christian Kirk,WR,ARI,116.9,2020
Adrian Peterson,RB,DET,118.4,2020
Sterling Shepard,WR,NYG,118.9,2020
Baltimore Defense,DST,BAL,119.3,2020
Tony Pollard,RB,DAL,119.4,2020
Noah Fant,TE,DEN,119.6,2020
Pittsburgh Defense,DST,PIT,119.6,2020
Boston Scott,RB,PHI,120.1,2020
Cam Newton,QB,NE,120.7,2020
Justin Jefferson,WR,MIN,121.5,2020
Daniel Jones,QB,NYG,125.4,2020
Buffalo Defense,DST,BUF,126.3,2020
Bryce Love,RB,WAS,126.8,2020
Anthony Miller,WR,CHI,126.9,2020
DeSean Jackson,WR,PHI,127.1,2020
Ben Roethlisberger,QB,PIT,129.5,2020
Preston Williams,WR,MIA,130.9,2020
Duke Johnson,RB,HOU,131,2020
Allen Lazard,WR,GB,131,2020
Ke'Shawn Vaughn,RB,TB,134.4,2020
Ryquell Armstead,RB,JAX,135.3,2020
Joe Burrow,QB,CIN,135.7,2020
Brandon Aiyuk,WR,SF,135.9,2020
Austin Hooper,TE,CLE,136.7,2020
Chicago Defense,DST,CHI,136.7,2020
Justin Jackson,RB,LAC,137.6,2020
Nyheim Hines,RB,IND,139.9,2020
New England Defense,DST,NE,140.2,2020
Sammy Watkins,WR,KC,140.5,2020
T.J. Hockenson,TE,DET,143.1,2020
Justin Tucker,K,BAL,144.5,2020
Baker Mayfield,QB,CLE,144.7,2020
Golden Tate,WR,NYG,145.3,2020
Mike Gesicki,TE,MIA,146.5,2020
Jared Goff,QB,LA,147.2,2020
Harrison Butker,K,KC,147.5,2020
LA Chargers Defense,DST,LAC,147.5,2020
John Brown,WR,BUF,149.1,2020
Chris Thompson,RB,JAX,149.6,2020
Michael Pittman Jr.,WR,IND,151.7,2020
Darrel Williams,RB,KC,152.3,2020
Jerick McKinnon,RB,SF,152.3,2020
Benny Snell Jr.,RB,PIT,152.9,2020
Breshad Perriman,WR,NYJ,153,2020
Jonnu Smith,TE,TEN,153.6,2020
Jack Doyle,TE,IND,153.7,2020
Chris Herndon IV,TE,NYJ,153.9,2020
Tampa Bay Defense,DST,TB,154.2,2020
Blake Jarwin,TE,DAL,154.4,2020
Joshua Kelley,RB,LAC,154.5,2020
Wil Lutz,K,NO,155.7,2020
LeSean McCoy,RB,TB,156,2020
Greg Zuerlein,K,DAL,156.1,2020
Ryan Tannehill,QB,TEN,156.4,2020
Carlos Hyde,RB,SEA,156.5,2020
Jimmy Garoppolo,QB,SF,157.2,2020
Parris Campbell,WR,IND,158.4,2020
N'Keal Harry,WR,NE,159,2020
Gardner Minshew,QB,JAX,159.2,2020
Philip Rivers,QB,IND,159.6,2020
Seattle Defense,DST,SEA,160.3,2020
Dallas Defense,DST,DAL,161,2020
DeAndre Washington,RB,MIA,161.4,2020
Mike Williams,WR,LAC,161.9,2020
Robbie Gould,K,SF,162.3,2020
Drew Lock,QB,DEN,162.4,2020
Larry Fitzgerald,WR,ARI,162.8,2020
Minnesota Defense,DST,MIN,163.1,2020
New Orleans Defense,DST,NO,163.6,2020
Curtis Samuel,WR,CAR,163.9,2020
Robby Anderson,WR,CAR,163.9,2020
Bryan Edwards,WR,LV,164.2,2020
Matt Gay,K,LA,166,2020
Kansas City Defense,DST,KC,167.1,2020
Zane Gonzalez,K,ARI,167.8,2020
Matt Prater,K,DET,167.9,2020
Younghoe Koo,K,ATL,168.8,2020
Philadelphia Defense,DST,PHI,169.1,2020
Indianapolis Defense,DST,IND,170.3,2020
Chris Boswell,K,PIT,170.4,2020
Kaimi Fairbairn,K,HOU,172.5,2020
Jake Elliott,K,PHI,173.1,2020
Brandon McManus,K,DEN,173.8,2020
Dan Bailey,K,MIN,173.9,2020
Christian McCaffrey,RB,CAR,1.2,2021
Dalvin Cook,RB,MIN,2.5,2021
Alvin Kamara,RB,NO,3.8,2021
Derrick Henry,RB,TEN,4,2021
Ezekiel Elliott,RB,DAL,5.3,2021
Davante Adams,WR,GB,6.4,2021
Aaron Jones,RB,GB,7.5,2021
Travis Kelce,TE,KC,8.2,2021
Austin Ekeler,RB,LAC,8.5,2021
Nick Chubb,RB,CLE,9.9,2021
Tyreek Hill,WR,KC,10.6,2021
Saquon Barkley,RB,NYG,12,2021
Najee Harris,RB,PIT,12.9,2021
Stefon Diggs,WR,BUF,13.5,2021
Jonathan Taylor,RB,IND,13.8,2021
Antonio Gibson,RB,WAS,15.6,2021
DeAndre Hopkins,WR,ARI,17,2021
Calvin Ridley,WR,ATL,18,2021
Joe Mixon,RB,CIN,19.2,2021
D.K. Metcalf,WR,SEA,19.7,2021
Clyde Edwards-Helaire,RB,KC,20.4,2021
Darren Waller,TE,LV,21.5,2021
Justin Jefferson,WR,MIN,22.4,2021
Patrick Mahomes,QB,KC,22.9,2021
A.J. Brown,WR,TEN,24.8,2021
David Montgomery,RB,CHI,25.9,2021
Keenan Allen,WR,LAC,25.9,2021
Chris Carson,RB,SEA,28,2021
George Kittle,TE,SF,28.5,2021
James Robinson,RB,JAX,29.1,2021
CeeDee Lamb,WR,DAL,29.6,2021
Terry McLaurin,WR,WAS,30.3,2021
Allen Robinson,WR,CHI,32.7,2021
D'Andre Swift,RB,DET,34,2021
Josh Allen,QB,BUF,34.4,2021
Robert Woods,WR,LA,35.1,2021
Josh Jacobs,RB,LV,35.4,2021
Mike Evans,WR,TB,37.8,2021
Miles Sanders,RB,PHI,38.7,2021
Amari Cooper,WR,DAL,40,2021
Kyle Pitts,TE,ATL,40.3,2021
Kyler Murray,QB,ARI,41.3,2021
Cooper Kupp,WR,LA,41.3,2021
Mike Davis,RB,ATL,43.1,2021
Darrell Henderson,RB,LA,43.8,2021
Diontae Johnson,WR,PIT,44.9,2021
Myles Gaskin,RB,MIA,45.7,2021
Julio Jones,WR,TEN,46,2021
Chris Godwin,WR,TB,47.2,2021
Tyler Lockett,WR,SEA,48.4,2021
Lamar Jackson,QB,BAL,50.9,2021
Adam Thielen,WR,MIN,52.3,2021
Javonte Williams,RB,DEN,52.7,2021
Mark Andrews,TE,BAL,52.8,2021
Kareem Hunt,RB,CLE,53.2,2021
Brandon Aiyuk,WR,SF,53.9,2021
T.J. Hockenson,TE,DET,55.4,2021
Damien Harris,RB,NE,55.5,2021
Gus Edwards,RB,BAL,56.6,2021
D.J. Moore,WR,CAR,57,2021
Aaron Rodgers,QB,GB,59,2021
Chase Edmonds,RB,ARI,60.4,2021
Chase Claypool,WR,PIT,61.1,2021
Tee Higgins,WR,CIN,61.3,2021
Raheem Mostert,RB,SF,63,2021
Jerry Jeudy,WR,DEN,64.1,2021
Dak Prescott,QB,DAL,66.7,2021
Trey Sermon,RB,SF,67.7,2021
Odell Beckham Jr,WR,LA,69,2021
Justin Herbert,QB,LAC,69.3,2021
Russell Wilson,QB,SEA,69.4,2021
Michael Thomas,WR,NO,69.5,2021
Logan Thomas,TE,WAS,72.2,2021
Antonio Brown,WR,TB,72.7,2021
Robby Anderson,WR,CAR,75,2021
Melvin Gordon,RB,DEN,75.2,2021
Michael Carter,RB,NYJ,76.1,2021
Ja'Marr Chase,WR,CIN,77.4,2021
DeVonta Smith,WR,PHI,77.6,2021
Tom Brady,QB,TB,77.8,2021
A.J. Dillon,RB,GB,79.1,2021
Noah Fant,TE,DEN,79.2,2021
Ronald Jones II,RB,TB,79.8,2021
JuJu Smith-Schuster,WR,PIT,82.5,2021
Kenny Golladay,WR,NYG,82.8,2021
Zack Moss,RB,BUF,83.8,2021
Matthew Stafford,QB,LA,85,2021
Courtland Sutton,WR,DEN,85.7,2021
Laviska Shenault Jr.,WR,JAX,85.9,2021
Robert Tonyan Jr.,TE,GB,87.2,2021
